K1,K2,K3,K4,K5,K6,K7,K8,score_class
-276966341.809187,-277288262.504333,104906073.889968,292160.59817,-152339.064678,-105204074.963461,-158091.20541,1.732051,0
-294289565.740542,-294588592.188113,133013861.945178,87213.954314,-88395.212964,-133182567.157936,-172434.318148,51963.256278,0
-277118692.998221,-277136273.313918,555473753.307748,371143.847046,-6484.798224,-555848442.662797,-6470.941817,1.732051,0
-277117470.170351,-277137658.954564,81363684.243077,197387.974132,-6321.985448,-81563419.146053,-162088.778674,154154.253924,1
-268396680.956782,-268535199.988066,155375008.529765,364523.948859,-45435.156784,-155763296.215704,-204674.71188,142029.898271,1
-268466188.155689,-268469193.263841,180796455.064467,185189.140294,-1285.181699,-180982314.508424,-19618.939497,19054.290934,0
-242476559.674072,-242496462.669902,343874719.723725,444134.200128,-6396.463632,-344319770.17873,-7827.137599,1.732051,0
-259802572.207227,-259811656.813713,552106210.061031,888957.756477,-2156.403255,-552995382.591807,-16205.067356,13858.138511,1
-268424244.813333,-268510474.962788,59376743.771363,260278.738955,-21809.983769,-59656073.337151,-41150.063086,1.732051,0
-259748033.391399,-259865523.593829,505722280.877818,650300.207753,-38054.888293,-506393312.001687,-55659.452701,1.732051,1
-259697474.828326,-259900129.968964,502231022.438069,687054.325889,-54007.076231,-502969380.108878,-74372.529626,1.732051,1
-259767617.68988,-259845000.52381,394794586.863069,610842.358305,-19941.100948,-395425408.42744,-34216.663704,1.732051,0
-259783124.74076,-259830264.235539,444054782.13399,935849.56799,-19170.338338,-444993790.962653,-39295.036671,19054.290934,1
-259683895.549994,-259907804.686092,357500207.43856,623013.47933,-92820.602778,-358195847.540303,-76175.594517,1.732051,1
-259796567.187078,-259815867.429226,357552227.852515,820876.035384,-4536.241065,-358379545.384852,-22218.747759,17322.240126,1
-259647304.244634,-259910773.421176,355568851.276616,1719834.653223,-96998.309325,-357422822.87258,-71152.647175,25982.494164,1
-259801113.820448,-259813305.726082,311737093.762204,253890.935577,-2551.31084,-311994040.035405,-4584.738488,1.732051,1
-259711961.70128,-259901214.232769,306908196.73248,308777.893618,-86933.362083,-307226111.194108,-94682.557396,3465.833666,0
-259734518.198947,-259876991.502226,311528153.009185,658049.403066,-38370.12154,-312220464.109275,-65043.703977,1.732051,1
-259805376.397485,-259809455.377137,241204037.534209,632240.113982,-940.503589,-241834102.192376,-1009.785621,1.732051,1
-259802179.031694,-259812088.094364,694093447.921095,731218.157381,-2703.731311,-694826121.001154,-103259.672995,100460.67889,1
